campaign_id,scenario,day,basis,feature_set,best_dial,predicted_dial,absolute_dial_error
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,1,same_day,full,0.059375,0.18301110231877427,0.12363610231877427
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,1,cumulative,full,0.059375,0.18301110231877427,0.12363610231877427
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,3,same_day,full,0.0,0.24667502621560794,0.24667502621560794
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,3,cumulative,full,0.0,0.17999726634169164,0.17999726634169164
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,6,same_day,full,0.0,0.27085428546780105,0.27085428546780105
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,6,cumulative,full,0.0,0.14679595617220587,0.14679595617220587
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,9,same_day,full,0.059375,0.2847572237041782,0.2253822237041782
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,9,cumulative,full,0.0,0.18789923747595333,0.18789923747595333
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,13,same_day,full,0.0,0.20986153758795376,0.20986153758795376
train_mixed_funnel_portfolio_0,mixed_funnel_portfolio,13,cumulative,full,0.0,0.13297044592964702,0.13297044592964702
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,1,same_day,full,0.17812499999999998,0.24645215371744023,0.06832715371744025
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,1,cumulative,full,0.17812499999999998,0.24645215371744023,0.06832715371744025
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,3,same_day,full,0.0,0.1703970978560154,0.1703970978560154
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,3,cumulative,full,0.059375,0.2182471805298064,0.1588721805298064
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,6,same_day,full,0.0,0.25559288769666744,0.25559288769666744
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,6,cumulative,full,0.0,0.23606183876324932,0.23606183876324932
train_mixed_funnel_portfolio_1,mixed_funnel_portfolio,9,same_day,full,0.0,0.24869856665642742,0.24869856665642742
