scenario,scenario_label,variant,similarity_multiplier,matchability_shift,replicate,report,edp_count,method,method_label,relative_error
broad_awareness_control,Broad awareness / reach control,higher matchability,1.0,0.15,1,"full flight, 10 EDPs",10,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.00033344448149383126
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 2 EDPs",2,baseline_vid,Existing VID,0.036428946907306685
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 2 EDPs",2,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.03379391730442403
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 2 EDPs",2,two_group_latent_mixture,Two-group mixture,0.027961750271707247
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_direct,Direct pair + higher-order inference,0.008472332157324122
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 2 EDPs",2,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.027322016844243353
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 5 EDPs",5,baseline_vid,Existing VID,0.09205152773127448
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 5 EDPs",5,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.05361599004047112
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 5 EDPs",5,two_group_latent_mixture,Two-group mixture,0.0921465381553134
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_direct,Direct pair + higher-order inference,0.04340269116926996
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 5 EDPs",5,pairwise_maxent_mixture,Mixture pair + higher-order inference,0.07085277160530826
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 10 EDPs",10,baseline_vid,Existing VID,0.11201006495422543
traffic_optimization,Traffic / landing-page views,central,1.0,0.0,0,"full flight, 10 EDPs",10,pair_aware_fixed_plus_shared_log,Pair-aware fixed + log,0.0074918470125654784
