campaign_id,scenario,method,report,report_type,edp_count,week_count,truth_union,estimated_union,union_relative_error
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_5_12__2_edps,interval,2,8,3433,3308,0.036411302068161955
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_3__5_edps,prefix,5,3,2123,2123,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_12__5_edps,prefix,5,12,5553,5553,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_7_13__5_edps,interval,5,7,4696,4186,0.108603066439523
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,all_weeks__5_edps,prefix,5,13,5782,5782,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,noncontiguous__5_edps,noncontiguous,5,6,4175,4243,0.0162874251497006
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_3__10_edps,prefix,10,3,2803,2803,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_1_12__10_edps,prefix,10,12,6113,6113,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,all_weeks__10_edps,prefix,10,13,6320,6320,0.0
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_5_12__10_edps,interval,10,8,5525,5046,0.08669683257918552
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,weeks_7_13__10_edps,interval,10,7,5385,4636,0.13909006499535748
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,noncontiguous__10_edps,noncontiguous,10,6,4782,4894,0.02342116269343371
venn_video_engagement_retargeting,video_engagement_retargeting,cumulative_full_venn_oldest,noncontiguous__2_edps,noncontiguous,2,6,2599,2621,0.008464794151596768
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_3__2_edps,prefix,2,3,2031,2383,0.17331363860167406
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_12__2_edps,prefix,2,12,3010,4990,0.6578073089700996
venn_lead_generation,lead_generation,daily_full_venn,weeks_5_12__2_edps,interval,2,8,1676,2154,0.2852028639618138
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_3__5_edps,prefix,5,3,2207,2651,0.20117806977797917
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_12__5_edps,prefix,5,12,4373,9555,1.1849988566201692
venn_lead_generation,lead_generation,daily_full_venn,weeks_7_13__5_edps,interval,5,7,3280,5392,0.6439024390243903
venn_lead_generation,lead_generation,daily_full_venn,all_weeks__5_edps,prefix,5,13,4461,10139,1.2728087872674287
venn_lead_generation,lead_generation,daily_full_venn,noncontiguous__5_edps,noncontiguous,5,6,3052,4594,0.5052424639580603
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_3__10_edps,prefix,10,3,2486,3130,0.2590506838294449
venn_lead_generation,lead_generation,daily_full_venn,weeks_1_12__10_edps,prefix,10,12,4959,12998,1.6210929622907844
venn_lead_generation,lead_generation,daily_full_venn,all_weeks__10_edps,prefix,10,13,5070,13973,1.7560157790927022
venn_lead_generation,lead_generation,daily_full_venn,weeks_5_12__10_edps,interval,10,8,4283,9074,1.1186084520196125
venn_lead_generation,lead_generation,daily_full_venn,weeks_7_13__10_edps,interval,10,7,4005,7962,0.9880149812734083
venn_lead_generation,lead_generation,daily_full_venn,noncontiguous__10_edps,noncontiguous,10,6,3683,6370,0.7295682867227803
venn_lead_generation,lead_generation,daily_full_venn,noncontiguous__2_edps,noncontiguous,2,6,1940,2456,0.26597938144329897
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_3__2_edps,prefix,2,3,2031,2031,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_12__2_edps,prefix,2,12,3010,3010,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_5_12__2_edps,interval,2,8,1676,1654,0.013126491646778043
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_3__5_edps,prefix,5,3,2207,2207,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_1_12__5_edps,prefix,5,12,4373,4373,0.0
venn_lead_generation,lead_generation,cumulative_full_venn_recent,weeks_7_13__5_edps,interval,5,7,3280,3171,0.03323170731707317
venn_lead_generation,lead_generation,cumulative_full_venn_recent,all_weeks__5_edps,prefix,5,13,4461,4461,0.0
